Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
5/1/2007,0.7564,0.766,0.7546,0.765,66050000000,0.0114,0.004967335,1486.3,6145.8,Bull
5/2/2007,0.7649,0.7717,0.7642,0.769,74328000000,0.0075,0.002264905,1495.92,6237.7,Bull
5/3/2007,0.769,0.7728,0.7645,0.7703,65778000000,0.0083,0.000733558,1502.39,6245.6,Bull
5/4/2007,0.7702,0.7743,0.767,0.7707,63537000000,0.0073,0.000225461,1505.62,6304.9,Bull
5/6/2007,0.7712,0.7735,0.7712,0.7722,4485000000,0.0023,0.000844438,1505.62,6304.9,Bear
5/7/2007,0.7721,0.7743,0.7668,0.769,62984000000,-0.0075,-0.001803457,1509.48,6335.7,Bull
5/8/2007,0.7692,0.7746,0.7629,0.7733,74879000000,0.0117,0.00242167,1507.72,6304.4,Bear
5/9/2007,0.7735,0.777,0.7703,0.7715,71696000000,-0.0067,-0.00101208,1512.58,6341,Bull
5/10/2007,0.7715,0.7792,0.7677,0.7761,64485000000,0.0115,0.002581753,1491.47,6355.5,Bear
5/11/2007,0.7762,0.7789,0.7692,0.7719,62943000000,-0.0097,-0.002356643,1505.85,6297.4,Bull
5/13/2007,0.7724,0.7748,0.7699,0.7729,5121000000,0.0049,0.000562266,1505.85,6297.4,Bear
5/14/2007,0.773,0.7731,0.7589,0.7605,66866000000,-0.0142,-0.007024089,1503.15,6345.1,Bull
5/15/2007,0.7607,0.769,0.7597,0.7668,72162000000,0.0093,0.003582886,1501.19,6291.2,Bear
5/16/2007,0.7668,0.7724,0.7567,0.7581,78687000000,-0.0157,-0.004955608,1514.14,6294.6,Bull
5/17/2007,0.7583,0.7674,0.7578,0.7641,76185000000,0.0096,0.003423703,1512.75,6365.9,Bear
5/18/2007,0.7639,0.7651,0.752,0.7581,64979000000,-0.0131,-0.003423703,1522.75,6312.5,Bear
5/20/2007,0.7576,0.7577,0.7545,0.755,4112000000,-0.0032,-0.001779545,1522.75,6312.5,Bear
5/21/2007,0.755,0.7553,0.746,0.7523,64700000000,-0.0093,-0.00155589,1525.1,6369,Bear
5/22/2007,0.7522,0.7592,0.7486,0.7503,72275000000,-0.0106,-0.001156115,1524.12,6338.8,Bull
5/23/2007,0.7503,0.7559,0.749,0.7526,68713000000,0.0069,0.001329268,1522.28,6355.1,Bull
5/24/2007,0.7525,0.7617,0.7496,0.7599,64392000000,0.0121,0.004192231,1507.51,6279.1,Bear
5/25/2007,0.7599,0.7608,0.7552,0.757,53856000000,-0.0056,-0.001660565,1515.73,6252.8,Bull
5/27/2007,0.7565,0.7583,0.7558,0.7573,3961000000,0.0025,0.000172077,1515.73,6252.8,Bull
5/28/2007,0.7573,0.7594,0.7567,0.758,34101000000,0.0027,0.000401249,1515.73,6251.4,Bull
5/29/2007,0.7579,0.7646,0.756,0.7609,63504000000,0.0086,0.001658378,1518.11,6317.6,Bear
5/30/2007,0.7609,0.7652,0.7504,0.7512,70221000000,-0.0148,-0.005572005,1530.23,6243.4,Bear
5/31/2007,0.7511,0.7515,0.7436,0.7488,74032000000,-0.0079,-0.001389744,1530.62,6313.5,Bull
6/1/2007,0.7488,0.7523,0.7439,0.7509,58306000000,0.0084,0.001216269,1536.34,6333.5,Bear
6/3/2007,0.7513,0.7519,0.7496,0.7506,3305000000,-0.0023,-0.000173544,1536.34,6333.5,Bear
6/4/2007,0.7506,0.7545,0.7462,0.7472,58515000000,-0.0083,-0.001971697,1539.18,6392.9,Bear
6/5/2007,0.7472,0.7485,0.7387,0.7402,68450000000,-0.0098,-0.004087782,1530.95,6370.8,Bull
6/6/2007,0.7402,0.7431,0.7385,0.7424,68249000000,0.0046,0.001288882,1517.38,6337.1,Bear
6/7/2007,0.7421,0.7465,0.7397,0.742,80585000000,-0.0068,-0.000234058,1490.72,6311.1,Bull
6/8/2007,0.742,0.7502,0.7411,0.7477,64906000000,0.0091,0.003323475,1507.67,6231.7,Bear
6/10/2007,0.7477,0.7487,0.747,0.7476,1761000000,-0.0017,-5.81E-05,1507.67,6231.7,Bear
6/11/2007,0.7476,0.7498,0.7414,0.7433,45234000000,-0.0084,-0.00250516,1509.12,6231.7,Bear
6/12/2007,0.7432,0.745,0.7359,0.738,68521000000,-0.0091,-0.003107771,1493,6240.1,Bear
6/13/2007,0.7379,0.7409,0.7338,0.737,60557000000,-0.0071,-0.000588874,1515.67,6180.7,Bull
6/14/2007,0.7369,0.7431,0.7357,0.7425,56297000000,0.0074,0.00322897,1522.97,6261.2,Bear
6/15/2007,0.7426,0.7448,0.7368,0.7381,55945000000,-0.008,-0.002581253,1532.91,6293.8,Bear
6/17/2007,0.7383,0.7386,0.7367,0.7379,3638000000,-0.0019,-0.000117695,1532.91,6293.8,Bear
6/18/2007,0.7377,0.7387,0.7352,0.7364,48974000000,-0.0035,-0.000883731,1531.05,6343.4,Bull
6/19/2007,0.7364,0.7405,0.7354,0.739,52392000000,0.0051,0.001530659,1533.7,6372,Bull
6/20/2007,0.7389,0.7417,0.7336,0.7412,56926000000,0.0081,0.001290972,1512.84,6396.9,Bear
6/21/2007,0.7413,0.7422,0.7317,0.7327,61844000000,-0.0105,-0.005009219,1522.19,6387,Bear
6/22/2007,0.7327,0.7353,0.7299,0.7313,54132000000,-0.0054,-0.000830618,1502.56,6382.6,Bull
6/24/2007,0.7311,0.7323,0.7297,0.7315,2845000000,0.0026,0.000118757,1502.56,6382.6,Bull
6/25/2007,0.7315,0.7342,0.7286,0.7337,53411000000,0.0056,0.001304189,1497.74,6329.8,Bear
6/26/2007,0.7335,0.7353,0.7307,0.7316,55518000000,-0.0046,-0.001244822,1492.89,6308.6,Bear
