Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
4/5/2007,1.7516,1.7597,1.7487,1.7509,2.14E+12,-0.011,-0.000173594,1443.76,6397.3,Bear
4/6/2007,1.7509,1.7532,1.7312,1.7416,1.59E+12,-0.022,-0.002312927,1443.76,6397.3,Bull
4/8/2007,1.7418,1.7432,1.7416,1.74255,1.46E+11,0.0016,0.000236832,1443.76,6397.3,Bull
4/9/2007,1.74255,1.7471,1.7374,1.7429,2.07E+12,0.0097,8.72E-05,1444.61,6397.3,Bull
4/10/2007,1.7429,1.75015,1.7393,1.7497,2.10E+12,0.01085,0.001691122,1448.39,6417.8,Bear
4/11/2007,1.7497,1.7573,1.7462,1.7496,1.91E+12,-0.0111,-2.48E-05,1438.87,6413.3,Bull
4/12/2007,1.7496,1.7559,1.7483,1.7514,2.33E+12,0.0076,0.000446575,1447.8,6416.4,Bear
4/13/2007,1.7514,1.7529,1.7496,1.7507,2.31E+12,-0.0033,-0.000173614,1452.85,6462.4,Bull
4/15/2007,1.7511,1.7555,1.7462,1.7554,1.56E+11,0.0093,0.001164362,1452.85,6462.4,Bull
4/16/2007,1.7554,1.7747,1.7554,1.77,2.20E+12,0.0193,0.003597172,1468.33,6516.2,Bull
4/17/2007,1.77,1.784,1.7677,1.7824,2.11E+12,0.0163,0.003031907,1471.48,6497.8,Bull
4/18/2007,1.7824,1.7934,1.7794,1.7908,2.19E+12,0.014,0.002041912,1472.5,6449.4,Bear
4/19/2007,1.7908,1.7908,1.7753,1.7777,2.34E+12,-0.0155,-0.003188613,1470.73,6440.6,Bull
4/20/2007,1.7777,1.7846,1.7759,1.7817,1.96E+12,0.0087,0.000976108,1484.35,6486.8,Bull
4/22/2007,1.7829,1.7874,1.7822,1.7871,79803000000,0.0052,0.001314275,1484.35,6486.8,Bear
4/23/2007,1.7871,1.79305,1.7792,1.7857,2.04E+12,-0.01385,-0.000340356,1480.93,6479.7,Bull
4/24/2007,1.7857,1.7941,1.7825,1.7877,2.27E+12,0.0116,0.000486142,1480.41,6429.5,Bear
4/25/2007,1.7877,1.7909,1.78,1.7848,2.21E+12,-0.0109,-0.000705083,1495.42,6461.9,Bull
4/26/2007,1.7848,1.80455,1.7819,1.8014,2.33E+12,0.02265,0.004020601,1494.25,6469.4,Bull
4/27/2007,1.8014,1.8268,1.8,1.8251,1.75E+12,0.0268,0.005676507,1494.07,6418.7,Bear
4/29/2007,1.8247,1.8256,1.8228,1.8237,2.41E+11,-0.0028,-0.000333267,1494.07,6418.7,Bear
4/30/2007,1.8237,1.8414,1.8204,1.8231,2.60E+12,-0.021,-0.000142907,1482.37,6449.2,Bull
5/1/2007,1.8231,1.8426,1.8207,1.8364,2.05E+12,0.0219,0.003156793,1486.3,6419.6,Bull
5/2/2007,1.8364,1.8477,1.8354,1.8406,2.04E+12,0.0123,0.000992134,1495.92,6484.5,Bull
5/3/2007,1.8406,1.8547,1.8334,1.8513,2.02E+12,0.0213,0.002517383,1502.39,6537.8,Bull
5/4/2007,1.8513,1.8652,1.824,1.8589,2.05E+12,0.0412,0.001779226,1505.62,6603.7,Bull
5/6/2007,1.8602,1.865,1.859,1.8623,1.95E+11,0.006,0.000793616,1505.62,6603.7,Bear
5/7/2007,1.8623,1.8687,1.8548,1.8577,2.02E+12,-0.0139,-0.001074062,1509.48,6603.7,Bull
